matchId,referee,timezone,date,timestamp,period_first,period_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,home_team_id,home_team_name,home_team_logo,home_team_winner,away_team_id,away_team_name,away_team_logo,away_team_winner,goals_home,goals_away,halftime_home,halftime_away,fulltime_home,fulltime_away,extratime_home,extratime_away,penalty_home,penalty_away,home_shotsOnGoal,home_shotsOffGoal,home_totalShots,home_blockedShots,home_shotsInsideBox,home_shotsOutsideBox,home_fouls,home_cornerKicks,home_offsides,home_possession,home_yellowCards,home_redCards,home_goalkeeperSaves,home_totalPasses,home_accuratePasses,home_passPercentage,home_expectedGoals,home_goalsPrevented,away_shotsOnGoal,away_shotsOffGoal,away_totalShots,away_blockedShots,away_shotsInsideBox,away_shotsOutsideBox,away_fouls,away_cornerKicks,away_offsides,away_possession,away_yellowCards,away_redCards,away_goalkeeperSaves,away_totalPasses,away_accuratePasses,away_passPercentage,away_expectedGoals,away_goalsPrevented,resultado
878002,Alejandro Muñiz,UTC,2022-10-01T14:15:00+00:00,1664633700,1664633700,1664637300,1476,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,546,Getafe,https://media.api-sports.io/football/teams/546.png,false,720,Valladolid,https://media.api-sports.io/football/teams/720.png,true,2,3,2,2,2,3,,,,,6,3,14,5,12,2,23,4,1,44%,2,,4,320,245,77%,,,7,3,14,4,5,9,13,2,3,56%,5,,4,435,365,84%,,,Away Win
878003,Javier Iglesias,UTC,2022-10-01T12:00:00+00:00,1664625600,1664625600,1664629200,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,0,0,0,0,0,0,,,,,2,3,10,5,6,4,13,6,3,40%,2,1,7,300,236,79%,,,6,5,14,3,10,4,8,5,1,60%,3,0,2,481,400,83%,,,Draw
878004,Valentín Pizarro,UTC,2022-10-02T12:00:00+00:00,1664712000,1664712000,1664715600,1474,RCDE Stadium,Cornella de Llobregat,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,532,Valencia,https://media.api-sports.io/football/teams/532.png,,2,2,0,0,2,2,,,,,5,3,10,2,8,2,16,6,1,38%,2,1,3,294,202,69%,,,5,6,12,1,7,5,15,4,1,62%,1,1,3,499,412,83%,,,Draw
878005,Mario Melero,UTC,2022-10-02T16:30:00+00:00,1664728200,1664728200,1664731800,1478,Estadi Municipal de Montilivi,Girona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,547,Girona,https://media.api-sports.io/football/teams/547.png,false,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,true,3,5,2,2,3,5,,,,,8,5,16,3,11,5,9,2,0,40%,3,,0,316,246,78%,,,5,5,11,1,8,3,19,2,1,60%,1,,5,485,412,85%,,,Away Win
878006,Ricardo De Burgos,UTC,2022-10-01T16:30:00+00:00,1664641800,1664641800,1664645400,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,536,Sevilla,https://media.api-sports.io/football/teams/536.png,false,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,0,2,0,1,0,2,,,,,3,8,14,3,5,9,9,5,2,61%,3,,4,629,556,88%,,,6,9,20,5,14,6,12,7,0,39%,2,,3,410,328,80%,,,Away Win
878007,Jesús Gil,UTC,2022-10-01T19:00:00+00:00,1664650800,1664650800,1664654400,12597,Visit Mallorca Estadi,Palma de Mallorca,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,798,Mallorca,https://media.api-sports.io/football/teams/798.png,false,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,0,1,0,1,0,1,,,,,3,7,13,3,9,4,9,5,2,28%,2,,2,283,226,80%,,,3,6,11,2,7,4,13,5,1,72%,4,,3,770,715,93%,,,Away Win
878008,César Soto,UTC,2022-10-02T14:15:00+00:00,1664720100,1664720100,1664723700,1467,Abanca-Balaídos,Vigo,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,true,543,Real Betis,https://media.api-sports.io/football/teams/543.png,false,1,0,1,0,1,0,,,,,4,5,11,2,5,6,26,5,3,46%,4,0,4,368,302,82%,,,4,3,9,2,8,1,3,3,1,54%,3,1,3,435,357,82%,,,Home Win
878009,Jorge Figueroa,UTC,2022-10-03T19:00:00+00:00,1664823600,1664823600,1664827200,1488,Estadio de Vallecas,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,true,797,Elche,https://media.api-sports.io/football/teams/797.png,false,2,1,1,1,2,1,,,,,6,5,15,4,8,7,5,13,2,72%,1,,1,535,455,85%,,,2,3,6,1,4,2,19,3,0,28%,8,,4,218,137,63%,,,Home Win
878010,Guillermo Cuadra,UTC,2022-10-02T19:00:00+00:00,1664737200,1664737200,1664740800,1456,Estadio Santiago Bernabéu,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,727,Osasuna,https://media.api-sports.io/football/teams/727.png,,1,1,1,0,1,1,,,,,4,9,22,9,12,10,9,10,4,64%,1,0,1,605,550,91%,,,2,6,8,0,6,2,13,2,0,36%,2,1,3,350,281,80%,,,Draw
878011,Juan Pulido,UTC,2022-09-30T19:00:00+00:00,1664564400,1664564400,1664568000,1460,San Mamés Barria,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 7,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,true,723,Almeria,https://media.api-sports.io/football/teams/723.png,false,4,0,2,0,4,0,,,,,4,8,17,5,11,6,17,11,5,59%,1,,2,458,395,86%,,,2,3,8,3,6,2,8,2,6,41%,3,,0,319,245,77%,,,Home Win
878012,Juan Martínez,UTC,2022-10-08T14:15:00+00:00,1665238500,1665238500,1665242100,19217,Estádio Cívitas Metropolitano,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,547,Girona,https://media.api-sports.io/football/teams/547.png,false,2,1,1,0,2,1,,,,,7,2,13,4,11,2,12,8,0,45%,3,,3,505,433,86%,,,4,5,11,2,4,7,13,3,2,55%,1,,5,608,541,89%,,,Home Win
878013,José Munuera,UTC,2022-10-09T19:00:00+00:00,1665342000,1665342000,1665345600,18630,Spotify Camp Nou,Barcelona,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,false,1,0,1,0,1,0,,,,,5,7,13,1,11,2,16,6,1,58%,2,,4,565,495,88%,,,3,5,14,6,10,4,9,3,4,42%,4,,4,411,334,81%,,,Home Win
878014,Valentín Pizarro,UTC,2022-10-10T19:00:00+00:00,1665428400,1665428400,1665432000,1473,Estadio Manuel Martínez Valero,Elche,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,797,Elche,https://media.api-sports.io/football/teams/797.png,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,,1,1,1,0,1,1,,,,,2,3,7,2,4,3,12,5,2,42%,4,1,3,319,243,76%,,,4,4,11,3,8,3,17,7,5,58%,5,1,1,438,372,85%,,,Draw
878015,Antonio Mateu,UTC,2022-10-08T19:00:00+00:00,1665255600,1665255600,1665259200,1476,Coliseum Alfonso Pérez,Getafe,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,546,Getafe,https://media.api-sports.io/football/teams/546.png,false,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,0,1,0,1,0,1,,,,,2,4,9,3,4,5,10,4,1,34%,,,3,381,284,75%,,,4,11,19,4,8,11,5,4,2,66%,,,2,740,666,90%,,,Away Win
878016,Alejandro Hernández,UTC,2022-10-09T14:15:00+00:00,1665324900,1665324900,1665328500,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,2,2,1,0,2,2,,,,,3,5,8,0,6,2,13,8,5,53%,4,,4,372,271,73%,,,6,3,9,0,7,2,12,3,0,47%,4,,1,352,264,75%,,,Draw
878017,Miguel Ortiz,UTC,2022-10-07T19:00:00+00:00,1665169200,1665169200,1665172800,1486,Estadio El Sadar,Iruñea,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,727,Osasuna,https://media.api-sports.io/football/teams/727.png,false,532,Valencia,https://media.api-sports.io/football/teams/532.png,true,1,2,0,1,1,2,,,,,2,8,11,1,9,2,11,7,1,45%,3,2,5,318,225,71%,,,7,6,15,2,11,4,19,5,2,55%,6,1,1,396,301,76%,,,Away Win
878018,César Soto,UTC,2022-10-09T16:30:00+00:00,1665333000,1665333000,1665336600,1491,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,true,533,Villarreal,https://media.api-sports.io/football/teams/533.png,false,1,0,1,0,1,0,,,,,5,6,17,6,12,5,21,9,5,60%,5,,1,522,468,90%,,,1,2,5,2,3,2,18,3,0,40%,3,,4,340,279,82%,,,Home Win
878019,Pablo González,UTC,2022-10-08T12:00:00+00:00,1665230400,1665230400,1665234000,19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,723,Almeria,https://media.api-sports.io/football/teams/723.png,true,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,false,3,1,3,0,3,1,,,,,4,6,10,0,6,4,22,7,4,37%,4,1,3,261,175,67%,,,4,6,12,2,8,4,12,6,4,63%,2,0,1,453,379,84%,,,Home Win
878020,Jesús Gil,UTC,2022-10-08T16:30:00+00:00,1665246600,1665246600,1665250200,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,,1,1,1,0,1,1,,,,,3,3,10,4,7,3,19,5,2,46%,4,0,3,363,261,72%,,,4,9,21,8,14,7,14,7,4,54%,0,1,2,429,353,82%,,,Draw
878021,Carlos del Cerro,UTC,2022-10-09T12:00:00+00:00,1665316800,1665316800,1665320400,1492,Estadio Municipal José Zorrilla,Valladolid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2022,Regular Season - 8,720,Valladolid,https://media.api-sports.io/football/teams/720.png,,543,Real Betis,https://media.api-sports.io/football/teams/543.png,,0,0,0,0,0,0,,,,,3,6,12,3,4,8,12,3,1,59%,1,0,1,509,436,86%,,,1,2,4,1,4,0,16,1,1,41%,1,1,3,356,282,79%,,,Draw
