matchId,referee,timezone,date,timestamp,period_first,period_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,home_team_id,home_team_name,home_team_logo,home_team_winner,away_team_id,away_team_name,away_team_logo,away_team_winner,goals_home,goals_away,halftime_home,halftime_away,fulltime_home,fulltime_away,extratime_home,extratime_away,penalty_home,penalty_away,home_shotsOnGoal,home_shotsOffGoal,home_totalShots,home_blockedShots,home_shotsInsideBox,home_shotsOutsideBox,home_fouls,home_cornerKicks,home_offsides,home_possession,home_yellowCards,home_redCards,home_goalkeeperSaves,home_totalPasses,home_accuratePasses,home_passPercentage,home_expectedGoals,home_goalsPrevented,away_shotsOnGoal,away_shotsOffGoal,away_totalShots,away_blockedShots,away_shotsInsideBox,away_shotsOutsideBox,away_fouls,away_cornerKicks,away_offsides,away_possession,away_yellowCards,away_redCards,away_goalkeeperSaves,away_totalPasses,away_accuratePasses,away_passPercentage,away_expectedGoals,away_goalsPrevented,resultado
1038251,Miguel Ortiz,UTC,2024-03-30T17:30:00+00:00,1711819800,1711819800,1711823400,1497,Estadio de Mestalla,Valencia,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 30,532,Valencia,https://media.api-sports.io/football/teams/532.png,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,,0,0,0,0,0,0,,,,,5,5,14,4,9,5,8,3,0,53%,0,,3,484,387,80%,1.49,N/A,3,3,11,5,7,4,11,3,1,47%,2,,4,429,335,78%,0.87,N/A,Draw
1038252,Guillermo Cuadra,UTC,2024-04-14T16:30:00+00:00,1713112200,1713112200,1713115800,1460,San Mamés Barria,Bilbao,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,1,1,0,0,1,1,,,,,6,5,13,2,7,6,13,3,1,53%,3,0,1,490,416,85%,0.65,N/A,2,4,10,4,9,1,12,1,2,47%,3,1,5,459,370,81%,2.10,N/A,Draw
1038253,Ricardo De Burgos,UTC,2024-04-13T12:00:00+00:00,1713009600,1713009600,1713013200,19217,Estádio Cívitas Metropolitano,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,true,547,Girona,https://media.api-sports.io/football/teams/547.png,false,3,1,2,1,3,1,,,,,4,6,17,7,11,6,18,2,3,41%,3,,4,429,363,85%,2.40,N/A,5,7,12,0,6,6,12,0,0,59%,2,,1,627,567,90%,2.39,N/A,Home Win
1038254,Juan Martínez,UTC,2024-04-12T19:00:00+00:00,1712948400,1712948400,1712952000,1489,Estadio Benito Villamarín,Sevilla,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,543,Real Betis,https://media.api-sports.io/football/teams/543.png,true,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,false,2,1,0,0,2,1,,,,,3,6,15,6,12,3,7,6,1,47%,1,,4,512,440,86%,1.26,N/A,5,6,12,1,11,1,10,5,1,53%,0,,1,581,499,86%,1.60,N/A,Home Win
1038255,José Sánchez,UTC,2024-04-13T16:30:00+00:00,1713025800,1713025800,1713029400,19940,Estadi Mallorca Son Moix,Palma de Mallorca,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,798,Mallorca,https://media.api-sports.io/football/teams/798.png,false,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,true,0,1,0,0,0,1,,,,,2,3,6,1,5,1,18,4,1,44%,2,,7,413,332,80%,0.59,N/A,9,3,16,4,7,9,7,2,1,56%,1,,2,559,486,87%,1.60,N/A,Away Win
1038256,José Munuera,UTC,2024-04-15T19:00:00+00:00,1713207600,1713207600,1713211200,1486,Estadio El Sadar,Iruñea,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,727,Osasuna,https://media.api-sports.io/football/teams/727.png,false,532,Valencia,https://media.api-sports.io/football/teams/532.png,true,0,1,0,1,0,1,,,,,2,8,13,3,9,4,10,4,5,65%,0,,2,591,485,82%,1.93,N/A,3,1,4,0,3,1,10,1,0,35%,2,,2,335,223,67%,0.22,N/A,Away Win
1038257,Alejandro Muñiz,UTC,2024-04-14T12:00:00+00:00,1713096000,1713096000,1713099600,1481,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,false,536,Sevilla,https://media.api-sports.io/football/teams/536.png,true,0,2,0,1,0,2,,,,,2,1,5,2,0,5,8,6,2,63%,3,1,1,605,540,89%,0.07,N/A,3,7,10,0,9,1,13,2,2,37%,3,0,2,355,303,85%,2.08,N/A,Away Win
1038258,Isidro Díaz de Mera,UTC,2024-04-14T19:00:00+00:00,1713121200,1713121200,1713124800,1491,Reale Arena,Donostia-San Sebastián,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,,723,Almeria,https://media.api-sports.io/football/teams/723.png,,2,2,1,1,2,2,,,,,4,11,17,2,11,6,16,5,2,50%,2,1,1,407,327,80%,1.56,N/A,3,2,7,2,5,2,8,1,1,50%,2,0,2,441,351,80%,1.42,N/A,Draw
1038259,Juan Pulido,UTC,2024-04-13T19:00:00+00:00,1713034800,1713034800,1713038400,11915,Estadio Nuevo Mirandilla,Cádiz,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,724,Cadiz,https://media.api-sports.io/football/teams/724.png,false,529,Barcelona,https://media.api-sports.io/football/teams/529.png,true,0,1,0,1,0,1,,,,,3,5,14,6,8,6,17,8,5,38%,3,,0,328,245,75%,0.75,N/A,2,8,12,2,7,5,15,4,2,62%,3,,3,563,475,84%,0.76,N/A,Away Win
1038260,Jorge Figueroa,UTC,2024-04-13T14:15:00+00:00,1713017700,1713017700,1713021300,1488,Estadio de Vallecas,Madrid,Match Finished,FT,90,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,Regular Season - 31,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,,546,Getafe,https://media.api-sports.io/football/teams/546.png,,0,0,0,0,0,0,,,,,2,6,11,3,7,4,17,3,4,64%,4,,0,430,334,78%,0.89,N/A,0,5,7,2,2,5,19,0,2,36%,6,,2,262,161,61%,0.24,N/A,Draw
